lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-3
lua 5.4.4-3
lua-inspect 3.1.3-1
lua-lunacolors 0.2.1-1
lua-succulent 0.1.0-1
lua53 5.3.6-1
luajit 2.1.0.beta3.r471.g505e2c03-1
lv2 1.18.10-1
lvm2 2.03.20-1
lynx 2.8.9-6
lz4 1:1.9.4-1
lzfse 1.0-1
lzo 2.10-5
m1n1 1.2.6-1
m4 1.4.19-3
mailcap 2.1.53-1
make 4.4.1-2
man-db 2.11.2-1
md4c 0.4.8-1
mdadm 4.2-2
mesa-asahi-edge 23.1.0_pre20230321-1
mesa-demos 8.5.0-2
mesa-utils 8.5.0-2
meson 1.0.1-1
minizip 1:1.2.13-2
mkinitcpio 35.1-1.1
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20221107-2
mpfr 4.2.0-3
mpg123 1.31.3-1
msgpack-c 5.0.0-1
msmtp 1.8.22-2
mtdev 1.1.6-2
nano 7.2-1
ncurses 6.4-1
ndctl 75-1
nemo 5.6.4-1
nemo-fileroller 5.6.0-1
neomutt 20230322-2
neovim 0.8.3-1
net-tools 2.10-2
netctl 1.28-2
netpbm 10.73.42-2
nettle 3.8.1-1
network-manager-applet 1.30.0-1
networkmanager 1.42.4-2
networkmanager-qt 5.104.0-1
newsboat 2.30.1-1
ninja 1.11.1-2
nm-connection-editor 1.30.0-1
node-gyp 9.3.1-1
nodejs 19.8.1-1
nodejs-nopt 7.0.0-1
notmuch 0.37-2
notmuch-runtime 0.37-2
noto-fonts 20230301-1
noto-fonts-cjk 20220126-1
noto-fonts-emoji 20220920-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.89-1
nwg-drawer-bin 0.3.8-1
nyxt-git 3.pre.release.4.r110.g141f84332-1
ocl-icd 2.3.1-1
oniguruma 6.9.8-1
opencore-amr 0.1.6-1
openexr 3.1.6-1
openjpeg2 2.5.0-2
openmpi 4.1.5-1
openpmix 4.2.3-2
openresolv 3.12.0-1
openssh 9.3p1-1
openssl 3.0.8-1
opus 1.3.1-3.1
orc 0.4.33-1
ostree 2023.1-2
p11-kit 0.24.1-1
pacman 6.0.2-6
pacman-contrib 1.8.2-1
pacman-mirrorlist 20230206-1
pam 1.5.2-1
pam-gnupg 0.4-1
pambase 20221020-1
pango 1:1.50.14-1
pangomm 2.46.3-1
papirus-icon-theme 20230301-1
parted 3.5-1
paru 1.11.1-1
pass 1.7.4-3
patch 2.7.6-9
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.9.0-2
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-3
perl 5.36.0-3
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
phocus-gtk-theme-git r194.0cf0eb3-1
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-4
pinentry 1.2.1-1
pipewire 1:0.3.67-1
pipewire-audio 1:0.3.67-1
pipewire-jack 1:0.3.67-1
pixman 0.42.2-1
pkgconf 1.8.0-1
playerctl 2.4.1-3
polkit 122-1
poppler-data 0.4.12-1
popt 1.19-1
portaudio 1:19.7.0-2
powertop 2.15-1
procps-ng 3.3.17-1
psmisc 23.6-1
pulseaudio 16.1-6
pulseaudio-bluetooth 16.1-6
python 3.10.10-1
python-anytree 2.8.0-5
python-attrs 22.2.0-1
python-cairo 1.23.0-3
python-cffi 1.15.1-1
python-cryptography 39.0.2-1
python-gobject 3.44.0-1
python-jinja 1:3.1.2-2
python-lxml 4.9.2-1
python-mako 1.2.4-1
python-markdown 3.4.3-1
python-markupsafe 2.1.2-1
python-packaging 23.0-1
python-pip 23.0.1-1
python-ply 3.11-10
python-psutil 5.9.4-1
python-pycparser 2.21-3
python-pygments 2.14.0-2
python-pyqt5 5.15.9-1
python-pyqt5-sip 12.11.1-1
